measure,spec,term,N,treated_obs,sd,tol,coef,se,p
asinh_n_sub,without,DDD_dev,16886001,847,2.178252696990967,1e-06,0.00597747108126725,0.020796236431592813,0.773782767613324
asinh_n_sub,without,DDD_adv,16886001,847,2.178252696990967,1e-06,-0.001564829340335647,0.01334924406625897,0.9066838811989666
asinh_n_sub,without,IPxUS_chn,16886001,847,2.178252696990967,1e-06,-0.11184372707419224,0.024437928602477545,4.724919437704145e-06
asinh_n_sub,without,Dec_US_chn,16886001,847,2.178252696990967,1e-06,-0.2705862692941528,0.09326343052988283,0.003716042033341971
asinh_n_sub,without,Adv_Dec_US,16886001,847,2.178252696990967,1e-06,-0.13875646732269634,0.07225983426870149,0.05482716637419904
asinh_frac_sub,with,DDD_dev,16886001,847,1.204857587814331,1e-06,0.0125736579823342,0.03340759685923558,0.7066409389451347
asinh_frac_sub,with,DDD_adv,16886001,847,1.204857587814331,1e-06,-0.011423115265648126,0.01625907803351028,0.48232472954989847
asinh_frac_sub,with,IPxUS_dev,16886001,847,1.204857587814331,1e-06,-0.007333256139190283,0.024759544374514542,0.7670934147584851
asinh_frac_sub,with,IPxUS_adv,16886001,847,1.204857587814331,1e-06,0.007068518833618084,0.009855727510205059,0.47325125870238516
asinh_frac_sub,with,IPxUS_chn,16886001,847,1.204857587814331,1e-06,-0.07117577419279415,0.022014461304685467,0.0012243873644539605
asinh_frac_sub,with,Dec_US_chn,16886001,847,1.204857587814331,1e-06,-0.2927927183747048,0.09586539947902857,0.002256567573517776
asinh_frac_sub,with,Adv_Dec_US,16886001,847,1.204857587814331,1e-06,-0.12834239522780025,0.07105093240053298,0.07086468935914425
asinh_frac_sub,without,DDD_dev,16886001,847,1.204857587814331,1e-06,0.005478298176032881,0.01932709699195269,0.7768306145442625
asinh_frac_sub,without,DDD_adv,16886001,847,1.204857587814331,1e-06,-0.005301937906981419,0.013193439460593995,0.6877858167365394
asinh_frac_sub,without,IPxUS_chn,16886001,847,1.204857587814331,1e-06,-0.07171285362007161,0.022113209104954474,0.0011828353365974653
asinh_frac_sub,without,Dec_US_chn,16886001,847,1.204857587814331,1e-06,-0.29374691739336284,0.09581236001378281,0.0021704767916250756
asinh_frac_sub,without,Adv_Dec_US,16886001,847,1.204857587814331,1e-06,-0.13456080583822555,0.07173926272943855,0.06069749955235282
